Club Name,District,Project Category,Project Title,Project Description
Tustin,California-Nevada-Hawaii,Education/local school,Student of the Month,"""We honor high school seniors from Foothill, Beckman, Legacy, Tustin, and Hillview High Schools.  These exceptional students are selected based on their academic, sports, and volunteering achievements."""
Conyers,Georgia,Education/local school,Annual book distribution to K thru 5th grade students in Rockdale County public schools,"""Book distribution to all K, 1st, 2nd  & 3rd graders in the Rockdale public schools system. Expect to continue distributing books and adding the 4th and 5th grades."""
Sweetwater,Texas-Oklahoma,Education/local school,Kiwanis Kid,"""We have adopted the school across the street from our meeting place, and each month one teacher is chosen to choose a student from his/her class that is exceptional.  The Club gives that student a ""Kiwanis Kid"" award along with a small gift and treats them to lunch at our meeting"""
"Tourtonne, Paramaribo",Eastern Canada and the Caribbean,Education/local school,Toetsen voor de Toets,"""Project called ""Toetsen voor de Toets"" Can be translated as ""Practice exercise for the e xam"" The goal is to assist / support students from the last grade of the elementary schools with their state exams by publishing old / previous exams in the news paper.Appr 3000 kids are serv"""
Charleston,Missouri-Arkansas,Education/local school,"Supporting youth education in Charleston, MO","""We provide scholarships to graduating seniors, and support a number of school activities at various levels."""
"Oshkosh, Mid-Morning",Wisconsin-Upper Michigan,Education/local school,IPads for Autism,"""Oshkosh Mid-morning Kiwanis proudly supports the Kiwanis Autism Project in the Oshkosh Region. Our club has gifted over 130 IPads to children in Oshkosh and the surrounding area.."""
Milford,Indiana,Education/local school,Teachers' Toolbox,"""Storeroom of supplies for teachers at Milford Elementary School."""
Cayenne,Eastern Canada and the Caribbean,Education/local school,JOURNEE DES DROITS DE L'ENFANT,"""Chaque année nous choisissons un établissement scolaire en rencontrant l'équipe pédagogique et le directeur de l'école primaire dans le but de préparer cet évènement ""la Journée des Droits de l'Enfant"" le 20 novembre. """
"Hood Canal, Hoodsport",Pacific Northwest,Education/local school,Hood Canal Kiwanis Annual Golf Scramble for KIDS,"""To provide educational programs for kids to develop skills, improve self esteem, learn life skills through service.  Kiwanis offers many programs for students:  Terrific Kids, B.U.G, Bring up Grades and Key Leader.  """
Valparaiso Sunrise,Indiana,Education/local school,Instruments for children at Foundation Meadows Park,"""We have installed four instruments at Foundation Meadows Park in Valparaiso, collaborating with the parks department.  We continue to fundraise for another instrument.  """
Boone Day-Breakers,Nebraska-Iowa,Education/local school,Scholarships,"""We award scholarships to a minimum of 2 Graduating BHS Senior Class students ranking in top half of senior class and are active in school and community activities."""
Johnston,Nebraska-Iowa,Education/local school,Elementary Literacy Project,"""provide books to every 3rd grad classroom in our school district"""
"Five Towns (The), Long Island",New York,Education/local school,Scholarship  Breakfast,"""Annual Scholarship Breakfast raising funds for area high school seniors.  """
Moline,Illinois-Eastern Iowa,Education/local school,Scholastic Weekly News Magazine,"""Partnership with Moline/Coal Valley School District, to supply ALL 1st and 2nd grades in all elementary schools in District, with a weekly Scholastic Magazine. (Scholastic is a Kiwanis partner.) This is worked into curriculum by teachers. Hundreds of students impacted."""
Banner Elk,Carolinas,Education/local school,Woolly Worm Festival,"""A 2 day fall festival. Woolly Worm catapiliers races up a sting. There are as many as 15,000 people attending the festival. """
Crown Point,Indiana,Education/local school,Scholars Night,"""Our club has been recognizing honor roll students in grades 7-12 in all Crown Point schools for the past 60 years."""
"Dobytown, Kearney",Nebraska-Iowa,Education/local school,Back 2 School Link ,"""School Backpack Program providing backpacks with school supplies for students in need to begin the school year off right. The program works with the Kearney Area United Way who work with Kearney Public Schools to reach out to students and families that may qualify."""
Curacao,Eastern Canada and the Caribbean,Education/local school,Terrific Kids (hoben Destaka),"""Help Children to become a good citizen"""
Palmdale,California-Nevada-Hawaii,Education/local school,Backpack Giveaway   and Now we sponsor K- Kids at Linda Verde Elementary school 2023.,"""We give away backpack of school supplies to local elementary school children. """
Eau Claire,Wisconsin-Upper Michigan,Education/local school,Paul Bunyan Logging Camp Museum Renovation and Development of Equipment Shed Exhibits,"""Starting in the spring of 2019 and continuing until the Fall of 2022 we are providing 50% of the funds as well as volunteer service hours to renovate and enlarge the Equipment Shed at the Paul Bunyan Logging Camp Museum.  Then the exhibits will be updated for school tours.  """
Kent,Pacific Northwest,Education/local school,Middle School Essay Contest,"""Annual Middle School Essay Contest includes all Middle Schools in Kent School District.  Essays are graded by the High School Honors class.  Key Club submits ideas for the writing prompts.  Awards and a nice luncheon is provided for the winners and their parents and teacher."""
Scotts Valley,California-Nevada-Hawaii,Education/local school,Music at Skypark,"""The Kiwanis Club of Scotts Valley conducts a popular series of outdoor music concerts each summer at Skypark. The concerts raise about $20,000 each year for the music programs at Scotts Valley Middle School and Scotts Valley High School, enabling these programs to thrive."""
Winder,Georgia,Education/local school,Giving out dictionaries to the entire third grade class at Bethlehem elementary ,"""Each year at the beginning of the school year we hand out dictionaries to the entire third grade class at Bethlehem elementary school. For a lot of theses kids this will be the first book that they have ever owned and are allowed to keep."""
East York,Eastern Canada and the Caribbean,Education/local school,Kiwanis-Staple Back-to-School Project,"""Donations collected at Staples stores and gift cards and school supplies donated to local schools."""
Christchurch,New Zealand-South Pacific,Education/local school,First Aid in Schools Project,"""Our project is a partnership with a First Aid training partner, local primary schools and Kiwanis, which aims to provide first aid training to Year 8 students. Currently we have trained over 150 students from 4 schools in Christchurch and surrounding areas."""
